,magnitude,jumlahinf,kluster
0,4.6,3,1
1,5.0,78,0
2,4.6,1,1
3,4.5,1,1
4,4.6,0,1
5,4.6,0,1
6,4.6,1,1
7,4.7,141,0
8,4.5,11,1
9,5.5,78,0
10,4.6,60,0
11,4.8,13,1
12,5.0,13,1
13,4.6,13,1
14,4.9,13,1
15,7.3,73,0
16,4.5,0,1
17,4.9,13,1
18,4.7,0,1
19,4.9,1,1
20,4.6,0,1
21,4.6,1,1
22,4.5,65,0
23,5.4,153,0
24,4.6,21,1
25,5.3,13,1
26,4.8,125,0
27,4.6,45,1
28,4.7,0,1
29,4.6,21,1
30,4.6,0,1
31,4.9,1,1
32,4.5,7,1
33,4.9,2,1
34,4.9,1,1
35,4.5,0,1
36,4.6,54,0
37,4.7,0,1
38,4.7,28,1
39,4.9,22,1
40,5.0,5,1
41,4.6,39,1
42,4.6,113,0
43,4.6,76,0
44,4.6,0,1
45,4.5,6,1
46,4.7,19,1
47,4.6,37,1
48,4.6,1,1
49,4.9,35,1
50,5.2,59,0
51,4.6,1,1
52,4.5,0,1
53,4.8,10,1
54,4.8,1,1
55,4.9,39,1
56,5.2,0,1
57,4.5,0,1
58,5.6,34,1
59,4.8,70,0
60,4.7,1,1
61,4.5,83,0
62,4.7,1,1
63,4.9,29,1
64,4.5,1,1
65,4.8,6,1
66,4.9,1,1
67,4.8,0,1
68,4.9,0,1
69,5.6,43,1
70,4.6,0,1
71,5.0,2,1
72,4.5,1,1
73,4.5,0,1
74,4.5,2,1
75,5.1,2,1
76,4.5,4,1
77,4.6,4,1
78,5.8,48,1
79,5.7,44,1
80,7.3,447,2
81,4.5,0,1
82,4.5,37,1
83,4.5,0,1
84,5.0,0,1
85,4.6,0,1
86,4.5,2,1
87,4.6,4,1
88,4.5,3,1
89,4.8,39,1
90,4.6,0,1
91,5.4,15,1
92,4.6,39,1
93,5.0,105,0
94,4.5,30,1
95,4.6,1,1
96,4.7,28,1
97,4.7,0,1
98,5.1,15,1
99,5.2,19,1
100,4.5,1,1
101,4.5,64,0
102,4.6,9,1
103,4.5,44,1
104,5.0,58,0
105,5.3,54,0
106,6.0,46,1
107,4.9,8,1
108,4.8,0,1
109,4.5,55,0
110,4.6,0,1
111,5.1,0,1
112,4.6,0,1
113,4.6,53,0
114,4.5,8,1
115,4.5,5,1
116,4.5,0,1
117,4.5,51,0
118,4.9,0,1
119,5.2,32,1
120,4.7,0,1
121,4.6,41,1
122,4.5,25,1
123,4.7,0,1
124,4.6,31,1
125,4.5,90,0
126,4.6,22,1
127,4.8,0,1
128,4.5,44,1
129,4.5,0,1
130,4.5,26,1
131,5.0,0,1
132,4.7,0,1
133,5.4,0,1
134,5.3,0,1
135,4.9,0,1
136,4.5,16,1
137,4.6,26,1
138,4.9,11,1
139,5.0,70,0
140,4.6,0,1
141,4.5,24,1
142,4.8,0,1
143,4.5,6,1
144,4.8,47,1
145,5.1,74,0
146,4.8,11,1
147,4.6,7,1
148,4.6,0,1
149,6.0,100,0
150,4.6,1,1
151,4.7,7,1
152,4.5,0,1
153,5.1,55,0
154,4.6,0,1
155,4.8,48,1
156,4.7,0,1
157,4.8,0,1
158,5.4,87,0
159,4.7,121,0
160,4.5,20,1
161,4.8,21,1
162,6.0,234,2
163,4.5,0,1
164,5.1,93,0
165,4.5,1,1
166,4.5,0,1
167,4.5,0,1
168,5.7,238,2
169,4.9,36,1
170,4.5,0,1
171,4.7,0,1
172,5.1,69,0
173,5.9,49,1
174,4.5,0,1
175,4.9,0,1
176,4.9,0,1
177,4.7,0,1
178,4.7,0,1
179,4.7,0,1
180,4.6,0,1
181,6.0,23,1
182,4.5,21,1
183,4.5,29,1
184,4.5,0,1
185,4.9,12,1
186,5.5,17,1
187,5.1,0,1
188,4.5,1,1
189,4.5,0,1
190,4.6,51,0
191,5.1,13,1
192,4.7,0,1
193,4.8,23,1
194,4.8,45,1
195,4.6,95,0
196,5.2,73,0
197,4.6,6,1
198,5.1,0,1
199,4.9,119,0
200,4.5,4,1
201,4.8,1,1
202,4.8,26,1
203,4.5,0,1
204,4.5,0,1
205,4.9,88,0
206,4.5,2,1
207,4.8,131,0
208,5.0,25,1
209,4.7,33,1
210,4.5,68,0
211,4.6,20,1
212,4.5,57,0
213,4.5,81,0
214,4.6,1,1
215,5.0,93,0
216,4.7,170,0
217,4.5,9,1
218,4.5,0,1
219,4.7,0,1
